Nachname;Vorname;m/w/d/?;Geboren;Gestorben;Wirkungsorte im Ruhrgebiet;Folkwang-Lehrende*r;Folkwang-Studierende*r;Infos zu Werken, Dokumenten, Nachlass;Homepage;Wikipedia;Sonst. Links;Sonstige Links;Folkwang Bib Komp-Krzel;Sonstige Bemerkungen;;Quellen
Rosenmann Taub;Mauricio;m;;;;;;;;https://de.wikipedia.org/wiki/Mauricio_Rosenmann_Taub;https://www.folkwang-uni.de/home/hochschule/aktuell/vollanzeige/news-detail/folkwang-trauert-um-mauricio-rosenmann-taub/;;RosM;;;
Schubert;Heino;m;;;;;;;;https://de.wikipedia.org/wiki/Heino_Schubert;https://gemeinden.erzbistum-koeln.de/stifts-chor-bonn/service/komponisten/SchubertHeino.html;;SchubH;;;
Seemer-Koeper;Andreas;m;;;;;;;https://seemer-koeper.de/persona/;;;;;;;
Sehlbach;Erich;m;;;;;;Nachlass in der Folkwang Bibliothek;;https://de.wikipedia.org/wiki/Erich_Sehlbach;;;;;;
Shim;Kunsu;m;;;;;;;https://www.kunsu-shim.de/;;;;ShiK;;;
Spassov;Bojidar;m;;;;Derzeit Folkwang-Professor;;;;https://de.wikipedia.org/wiki/Boschidar_Spassow;;;;;;
St„bler;Gerhard;m;;;;;;;https://gerhard-staebler.de/pages/intro.php;;;;;Initiator KIR, vgl. E-Mail im Feb/M„rz 2022, ber Umzug der Sammlung informiert (Presse);;
Steinke;Gnter;m;;;;Folkwang-Lehrauftrag (vorher: Professor);;;;;https://www.folkwang-uni.de/home/hochschule/personen/lehrende/vollanzeige/personen-detail/prof-guenter-steinke/;;;Hat die šbernahme der Sammlung im Feb 22 begleitet und mitgestaltet;;
Susteck;Dominik;m;;;;;;;;https://de.wikipedia.org/wiki/Dominik_Susteck;https://dominiksusteck.de/noten-und-cds-in-der-sammlung-komponisten-im-ruhrgebiet/;;;;;
Torkewitz;Dieter;m;;;;;;;;;https://www.munzinger.de/search/kdg/Dieter+Torkewitz/920.html;;;;;
Ulanowski;Slawa;m;;;;;;;http://www.slawa-ulanowski.de/index.php/de/;;;;;;;
Wiesmann;Gnther;m;;;;;;;;;https://www.wa.de/lokales/boenen/guenther-wiesmann-weckt-interesse-mcg-schuelern-1085274.html;;;;;
Wittekopf;Matthias;m;;;;;;;;;https://kultur-und-schule.de/de_DE/kuenstler/mathias-wittekopf.698;;;;;
Zacher;Gerd;m;;;;;;;https://de.wikipedia.org/wiki/Gerd_Zacher;;;;;;;
